<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20001024000000,0.8354,0.8407,0.8344,0.8359,0.0
20001025000000,0.836,0.8389,0.8246,0.8273,0.0
20001026000000,0.8268,0.8326,0.8227,0.8303,0.0
20001027000000,0.8309,0.8443,0.8285,0.8396,0.0
20001030000000,0.8411,0.8532,0.8389,0.8401,0.0
20001031000000,0.8407,0.8501,0.838,0.8493,0.0
20001101000000,0.8488,0.8619,0.8468,0.8616,0.0
20001102000000,0.8618,0.8671,0.8554,0.8597,0.0
20001103000000,0.8585,0.88,0.8574,0.8667,0.0
20001106000000,0.8669,0.8733,0.8557,0.8614,0.0
20001107000000,0.8617,0.867,0.8577,0.8605,0.0
20001108000000,0.8602,0.8692,0.8516,0.8558,0.0
20001109000000,0.8559,0.8675,0.8518,0.8663,0.0
20001110000000,0.8666,0.8708,0.8592,0.8604,0.0
20001113000000,0.8622,0.8667,0.858,0.8596,0.0
20001114000000,0.8562,0.8618,0.8549,0.8581,0.0
20001115000000,0.8578,0.8637,0.8554,0.8574,0.0
20001116000000,0.8576,0.8601,0.8515,0.8521,0.0
20001117000000,0.8532,0.8579,0.8474,0.8489,0.0
20001120000000,0.8495,0.8524,0.8461,0.8513,0.0
20001121000000,0.8515,0.8535,0.8415,0.8434,0.0
20001122000000,0.8434,0.8489,0.8412,0.8443,0.0
20001123000000,0.8452,0.8459,0.8374,0.8383,0.0
20001124000000,0.839,0.8458,0.8375,0.8386,0.0
20001127000000,0.8392,0.8529,0.8384,0.8516,0.0
20001128000000,0.8521,0.8582,0.8503,0.8568,0.0
20001129000000,0.8563,0.8661,0.8555,0.8578,0.0
20001130000000,0.8574,0.8736,0.8566,0.8724,0.0
20001201000000,0.8725,0.8797,0.8701,0.8787,0.0
20001204000000,0.8788,0.8936,0.8757,0.8894,0.0
20001205000000,0.8882,0.891,0.8783,0.8799,0.0
20001206000000,0.8798,0.8922,0.877,0.8915,0.0
20001207000000,0.8921,0.8978,0.8854,0.8896,0.0
20001208000000,0.8903,0.8919,0.8808,0.8863,0.0
20001211000000,0.8825,0.8866,0.875,0.8761,0.0
20001212000000,0.8777,0.8841,0.8751,0.8791,0.0
20001213000000,0.8793,0.882,0.8715,0.877,0.0
20001214000000,0.8769,0.8918,0.8756,0.8907,0.0
20001215000000,0.8932,0.9003,0.8903,0.8956,0.0
20001218000000,0.8944,0.9021,0.8923,0.8938,0.0
20001219000000,0.8947,0.8971,0.8881,0.8945,0.0
20001220000000,0.8953,0.9102,0.8947,0.9097,0.0
20001221000000,0.9093,0.9175,0.9057,0.9163,0.0
20001222000000,0.9166,0.9265,0.9145,0.9244,0.0
20001225000000,0.9236,0.9279,0.9196,0.9253,0.0
20001226000000,0.9262,0.9326,0.9236,0.9311,0.0
20001227000000,0.9306,0.9344,0.9271,0.9306,0.0
20001228000000,0.9306,0.9319,0.9244,0.9296,0.0
20001229000000,0.9294,0.9427,0.9277,0.9424,0.0
20010101000000,0.9422,0.9429,0.939,0.9407,0.0
20010102000000,0.9425,0.9514,0.9363,0.9498,0.0
20010103000000,0.9508,0.9572,0.9274,0.9283,0.0
20010104000000,0.9275,0.9523,0.9264,0.9493,0.0
20010105000000,0.9499,0.9597,0.9465,0.958,0.0
20010108000000,0.9576,0.9594,0.9465,0.9478,0.0
20010109000000,0.9471,0.948,0.9381,0.9456,0.0
20010110000000,0.9442,0.9468,0.9364,0.9367,0.0
20010111000000,0.9364,0.9554,0.9364,0.9531,0.0
20010112000000,0.9527,0.9584,0.9469,0.952,0.0
20010115000000,0.9519,0.9532,0.9409,0.9425,0.0
20010116000000,0.9422,0.9442,0.9371,0.9416,0.0
