<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20000714000000,1.5032,1.5055,1.4966,1.5008,0.0
20000717000000,1.5002,1.5011,1.49,1.4954,0.0
20000718000000,1.4944,1.5008,1.4908,1.4973,0.0
20000719000000,1.4977,1.4987,1.4921,1.4982,0.0
20000720000000,1.4966,1.5141,1.49,1.5114,0.0
20000721000000,1.5132,1.5204,1.5084,1.517,0.0
20000724000000,1.5172,1.5217,1.5123,1.5156,0.0
20000725000000,1.5153,1.5222,1.5132,1.5162,0.0
20000726000000,1.5158,1.5227,1.5131,1.5156,0.0
20000727000000,1.5153,1.5174,1.5102,1.514,0.0
20000728000000,1.5122,1.5142,1.498,1.503,0.0
20000731000000,1.5025,1.5055,1.4935,1.4995,0.0
20000801000000,1.4998,1.5033,1.4906,1.492,0.0
20000802000000,1.492,1.4958,1.486,1.4956,0.0
20000803000000,1.495,1.4994,1.4822,1.4979,0.0
20000804000000,1.497,1.508,1.4885,1.5042,0.0
20000807000000,1.5053,1.5143,1.5,1.5128,0.0
20000808000000,1.5117,1.5122,1.5005,1.505,0.0
20000809000000,1.505,1.5054,1.4988,1.5025,0.0
20000810000000,1.5021,1.5039,1.495,1.4973,0.0
20000811000000,1.4974,1.5085,1.4966,1.5022,0.0
20000814000000,1.5019,1.5112,1.5002,1.5059,0.0
20000815000000,1.5053,1.5143,1.5023,1.5039,0.0
20000816000000,1.5037,1.5063,1.4972,1.5,0.0
20000817000000,1.4998,1.5019,1.496,1.4977,0.0
20000818000000,1.4971,1.4984,1.4878,1.49,0.0
20000821000000,1.49,1.4936,1.4857,1.4874,0.0
20000822000000,1.4873,1.4888,1.4784,1.4825,0.0
20000823000000,1.4819,1.4873,1.4758,1.4871,0.0
20000824000000,1.486,1.4865,1.4757,1.4815,0.0
20000825000000,1.4805,1.4827,1.4687,1.4695,0.0
20000828000000,1.4703,1.4737,1.468,1.469,0.0
20000829000000,1.469,1.4724,1.455,1.4562,0.0
20000830000000,1.4561,1.4598,1.4417,1.4596,0.0
20000831000000,1.4588,1.4595,1.4456,1.4478,0.0
20000901000000,1.447,1.465,1.4463,1.4641,0.0
20000904000000,1.462,1.4668,1.4568,1.4585,0.0
20000905000000,1.4576,1.4587,1.4472,1.4549,0.0
20000906000000,1.4536,1.4555,1.4362,1.4367,0.0
20000907000000,1.4374,1.4415,1.4309,1.4377,0.0
20000908000000,1.4385,1.4399,1.4135,1.414,0.0
20000911000000,1.4131,1.4235,1.401,1.4019,0.0
20000912000000,1.4025,1.4154,1.3945,1.4073,0.0
20000913000000,1.4062,1.4136,1.4028,1.4096,0.0
20000914000000,1.4092,1.422,1.4024,1.4069,0.0
20000915000000,1.4064,1.4141,1.3962,1.3967,0.0
20000918000000,1.3985,1.407,1.3954,1.4061,0.0
20000919000000,1.4056,1.4128,1.3998,1.4097,0.0
20000920000000,1.409,1.4186,1.4056,1.4113,0.0
20000921000000,1.4116,1.4385,1.4091,1.4383,0.0
20000922000000,1.438,1.4799,1.4356,1.4529,0.0
20000925000000,1.457,1.4646,1.4497,1.4528,0.0
20000926000000,1.4522,1.4645,1.4505,1.4639,0.0
20000927000000,1.4629,1.4689,1.458,1.4643,0.0
20000928000000,1.464,1.4682,1.4602,1.4625,0.0
20000929000000,1.4623,1.4801,1.4608,1.4763,0.0
20001002000000,1.476,1.4806,1.4642,1.4663,0.0
20001003000000,1.4657,1.4682,1.4553,1.4595,0.0
20001004000000,1.4587,1.4615,1.4516,1.4587,0.0
20001005000000,1.4579,1.4598,1.4428,1.4434,0.0
20001006000000,1.4435,1.4519,1.4415,1.4459,0.0
20001009000000,1.4469,1.4502,1.4446,1.4493,0.0
20001010000000,1.4492,1.4585,1.4468,1.4551,0.0
20001011000000,1.4556,1.4661,1.454,1.4621,0.0
20001012000000,1.4607,1.4756,1.4581,1.4713,0.0
20001013000000,1.471,1.4806,1.4492,1.4505,0.0
20001016000000,1.4515,1.4547,1.4413,1.4477,0.0
20001017000000,1.4471,1.4515,1.4335,1.4503,0.0
20001018000000,1.4503,1.4621,1.4376,1.4437,0.0
20001019000000,1.4432,1.4487,1.4392,1.4465,0.0
